kanji,strokes_new,strokes_old,element,readings,notes
丸,,,,,
含,,,,,
岸,,,,,
岩,,,,,
眼,,,,,
頑,,,,,
顔,,,,,
願,,,,,
企,,,,,
危,,,,,
机,,,,,
気,,,,,
岐,,,,,
希,,,,,
忌,,,,,
汽,,,,,
奇,,,,,
祈,,,,,
季,,,,,
紀,,,,,
軌,,,,,
既,,,,,
記,,,,,
起,,,,,
飢,,,,,
鬼,,,,,
帰,,,,,
基,,,,,
寄,,,,,
規,,,,,
喜,,,,,
幾,,,,,
揮,,,,,
期,,,,,
棋,,,,,
貴,,,,,
棄,,,,,
旗,,,,,
器,,,,,
輝,,,,,
機,,,,,
騎,,,,,
技,,,,,
宜,,,,,
偽,,,,,
欺,,,,,
義,,,,,
疑,,,,,
儀,,,,,
戯,,,,,
擬,,,,,
犠,,,,,
議,,,,,
菊,,,,,
吉,,,,,
喫,,,,,
詰,,,,,
却,,,,,
客,,,,,
脚,,,,,
逆,,,,,
虐,,,,,
九,,,,,
久,,,,,
及,,,,,
弓,,,,,
丘,,,,,
旧,,,,,
休,,,,,
吸,,,,,
朽,,,,,
求,,,,,
究,,,,,
泣,,,,,
急,,,,,
級,,,,,
糾,,,,,
宮,,,,,
救,,,,,
球,,,,,
給,,,,,
窮,,,,,
牛,,,,,
去,,,,,
巨,,,,,
居,,,,,
拒,,,,,
拠,,,,,
挙,,,,,
虚,,,,,
許,,,,,
距,,,,,
魚,,,,,
御,,,,,
漁,,,,,
凶,,,,,
共,,,,,
叫,,,,,
狂,,,,,
京,,,,,
享,,,,,
供,,,,,
協,,,,,
況,,,,,
峡,,,,,
挟,,,,,
狭,,,,,
恐,,,,,
恭,,,,,
胸,,,,,
脅,,,,,
強,,,,,
教,,,,,
郷,,,,,
境,,,,,
橋,,,,,
矯,,,,,
鏡,,,,,
競,,,,,
響,,,,,
驚,,,,,
仰,,,,,
暁,,,,,
業,,,,,
凝,,,,,
曲,,,,,
局,,,,,
極,,,,,
玉,,,,,
斤,,,,,
均,,,,,
近,,,,,
金,,,,,
菌,,,,,
